Reading List ID,Google Books ID,Apple Books ID,ISBN-13,Title,Subtitle,Authors,Page Count,Publication Date,Publisher,Description,Subjects,Language Code,Started Reading,Paused,Finished Reading,Did Not Finish,Current Page,Current Percentage,Rating,Notes,Lists
F8DB2054-02AC-4510-B0C9-24768E1C5B80,O0TyV70C-KAC,,9781590171462,The Thirty Years War,,"Wedgwood, Cicely Veronica",520,,,"Europe in 1618 was divided between Protestants and Catholics, and Bourbon and Hapsburg - as well as empires, kingdoms, and countless independent states. After angry Protestants tossed three representatives of the Holy Roman Empire out the window of the royal castle in Prague, world war spread from Bohemia with similar abandon and relentless persistence, destroying European powers from Spain to Sweden as they marched on the contested soil of Germany. Fanatics, speculators, and ordinary people found themselves trapped in a nightmarish world of famine, disease, and seemingly unstoppable destruction. 'The Thirty Years War' was a turning point in the making of modern Europe and the modern world - out of it came the system of nation-states that remains fundamental to international law. C. V. Wedgewood's magisterial book is the only comprehensive account of the war in English, as well as a triumph of scholarship and literature. Includes maps and charts.",17th Century; Europe; History; Military; Modern; Wars & Conflicts (Other); Western,en,,,,,,,,,
804798C5-1179-4A94-8E41-341A961359FC,XBMEGrjWA_IC,,9781590175200,Roumeli,,"Fermor, Patrick Leigh",280,,,"Roumeli is not to be found on present-day maps. It is the name once given to northern Greece—stretching from the Bosporus to the Adriatic and from Macedonia to the Gulf of Corinth, a name that evokes a world where the present is inseparably bound up with the past.

Roumeli describes Patrick Leigh Fermor’s wanderings in and around this mysterious and yet very real region. He takes us with him among Sarakatsan shepherds, to the monasteries of Meteora and the villages of Krakora, and on a mission to track down a pair of Byron’s slippers at Missolonghi. As he does, he brings to light the inherent conflicts of the Greek inheritance—the tenuous links to the classical and Byzantine heritage, the legacy of Ottoman domination—along with an underlying, even older world, traces of which Leigh Fermor finds in the hills and mountains and along stretches of barely explored coast.

Roumeli is a companion volume to Patrick Leigh Fermor’s famous Mani: Travels in the Southern Peloponnese.",Biography & Autobiography; Europe; Greece; Literary; Personal Memoirs; Special Interest; Travel,en,,,,,,,,,
0F8E87F8-50CF-4092-968C-2740499FED36,FRiPTssYDEwC,,9781409077381,Ashenden,,"Maugham, W. Somerset",352,,,"When war broke out in 1914, Somerset Maugham was dispatched by the British Secret Service to Switzerland under the guise of completing a play. Multilingual, knowledgeable about many European countries and a celebrated writer, Maugham had the perfect cover, and the assignment appealed to his love of romance, and of the ridiculous. The stories collected in Ashenden are rooted in Maugham's own experiences as an agent, reflecting the ruthlessness and brutality of espionage, its intrigue and treachery, as well as its absurdity.",Classics; Espionage; Fiction; Thrillers; War & Military,en,,,,,,,,,
F9D739F4-5CB1-4AB5-B257-08097E41A238,aH0tFW5QoJEC,,9780307453280,Operation Mincemeat,,"Macintyre, Ben",412,,,"NEW YORK TIMES BESTSELLING AUTHOR OF A SPY AMONG FRIENDS

Ben Macintyre's Agent Zigzag was hailed as “rollicking, spellbinding” (New York Times), “wildly improbable but entirely true” (Entertainment Weekly), and, quite simply, “the best book ever written” (Boston Globe). In his new book, Operation Mincemeat, he tells an extraordinary story that will delight his legions of fans.

In 1943, from a windowless basement office in London, two brilliant intelligence officers conceived a plan that was both simple and complicated— Operation Mincemeat. The purpose? To deceive the Nazis into thinking that Allied forces were planning to attack southern Europe by way of Greece or Sardinia, rather than Sicily, as the Nazis had assumed, and the Allies ultimately chose.

Charles Cholmondeley of MI5 and the British naval intelligence officer Ewen Montagu could not have been more different. Cholmondeley was a dreamer seeking adventure. Montagu was an aristocratic, detail-oriented barrister. But together they were the perfect team and created an ingenious plan: Get a corpse, equip it with secret (but false and misleading) papers concerning the invasion, then drop it off the coast of Spain where German spies would, they hoped, take the bait. The idea was approved by British intelligence officials, including Ian Fleming (creator of James Bond). Winston Churchill believed it might ring true to the Axis and help bring victory to the Allies.

Filled with spies, double agents, rogues, fearless heroes, and one very important corpse, the story of Operation Mincemeat reads like an international thriller.

Unveiling never-before-released material, Ben Macintyre brings the reader right into the minds of intelligence officers, their moles and spies, and the German Abwehr agents who suffered the “twin frailties of wishfulness and yesmanship.” He weaves together the eccentric personalities of Cholmondeley and Montagu and their near-impossible feats into a riveting adventure that not only saved thousands of lives but paved the way for a pivotal battle in Sicily and, ultimately, Allied success in the war.",20th Century; History; Military; Modern; World War II,en,,,,,,,,,
F4EBC99A-F51C-4AD7-B14E-6D6E46C25509,qDlbCwAAQBAJ,,9781101904176,Rogue Heroes,,"Macintyre, Ben",400,,,"The incredible untold story of WWII’s greatest secret fighting force, as told by our great modern master of wartime intrigue

Britain’s Special Air Service—or SAS—was the brainchild of David Stirling, a young, gadabout aristocrat whose aimlessness in early life belied a remarkable strategic mind. Where most of his colleagues looked at a battlefield map of World War II’s African theater and saw a protracted struggle with Rommel’s desert forces, Stirling saw an opportunity: given a small number of elite, well-trained men, he could parachute behind enemy lines and sabotage their airplanes and war material. Paired with his constitutional opposite, the disciplined martinet Jock Lewes, Stirling assembled a revolutionary fighting force that would upend not just the balance of the war, but the nature of combat itself. He faced no little resistance from those who found his tactics ungentlemanly or beyond the pale, but in the SAS’s remarkable exploits facing the Nazis in the Africa and then on the Continent can be found the seeds of nearly all special forces units that would follow.

Bringing his keen eye for psychological detail to a riveting wartime narrative, Ben Macintyre uses his unprecedented access to SAS archives to shine a light inside a legendary unit long shrouded in secrecy. The result is not just a tremendous war story, but a fascinating group portrait of men of whom history and country asked the most.",Espionage; Europe; Great Britain; History; Military; True Crime; World War II,en,,,,,,,,,
BD8FE7F9-96FB-4EBE-B0B8-B5123236ACA5,BeM_AQAAQBAJ,,9781408830628,Double Cross,,"Macintyre, Ben",417,,,"D-Day, 6 June 1944, the turning point of the Second World War, was a victory of arms. But it was also a triumph for a different kind of operation: one of deceit, aimed at convincing the Nazis that Calais and Norway, not Normandy, were the targets of the 150,000-strong invasion force.",,en,,,,,,,,,
4A03AFE7-7825-406A-AEE0-82868DF31D1B,AIh5RXEDkUMC,,9780199537891,Don Quixote,,"Saavedra, Miguel de Cervantes",973,,,"Don Quixote, originally published in two parts in 1605 and 1615, stands as Cervantes' belated but colossal literary success. A work which has achieved mythic status, it is considered to have pioneered the modern novel. Don Quixote, a poor gentleman from La Mancha, Spain, entranced by the code of chivalry, seeks romantic honor through absurd and fantastic adventures. His fevered imagination turns everyday objects into heroic opponents and stepping stones to greater glory; each exploit serves as a comic, yet disturbing commentary on the psychological struggle between reality and illusion, fact and fiction. This celebrated translation by Charles Jarvis offers a new introduction and notes which provide essential background information.

About the Series: For over 100 years Oxford World's Classics has made available the broadest spectrum of literature from around the globe. Each affordable volume reflects Oxford's commitment to scholarship, providing the most accurate text plus a wealth of other valuable features, including expert introductions by leading authorities, voluminous notes to clarify the text, up-to-date bibliographies for further study, and much more.",Classics; Fiction; Literary; Literary Criticism; Renaissance,en,,,,,,,,,
AC776B2B-0F70-4D65-912B-7E769B2AADC1,4wEACwAAQBAJ,,9780399588815,Secondhand Time,,"Alexievich, Svetlana",496,,,"NEW YORK TIMES BESTSELLER • A symphonic oral history about the disintegration of the Soviet Union and the emergence of a new Russia, from Svetlana Alexievich, winner of the Nobel Prize in Literature

NAMED ONE OF THE TEN BEST BOOKS OF THE YEAR BY THE WASHINGTON POST AND PUBLISHERS WEEKLY • LOS ANGELES TIMES BOOK PRIZE WINNER

NAMED ONE OF THE BEST BOOKS OF THE YEAR BY
The New York Times • The Washington Post • The Boston Globe • The Wall Street Journal • NPR • Financial Times • Kirkus Reviews

When the Swedish Academy awarded Svetlana Alexievich the Nobel Prize, it cited her for inventing “a new kind of literary genre,” describing her work as “a history of emotions—a history of the soul.” Alexievich’s distinctive documentary style, combining extended individual monologues with a collage of voices, records the stories of ordinary women and men who are rarely given the opportunity to speak, whose experiences are often lost in the official histories of the nation.

In Secondhand Time, Alexievich chronicles the demise of communism. Everyday Russian citizens recount the past thirty years, showing us what life was like during the fall of the Soviet Union and what it’s like to live in the new Russia left in its wake. Through interviews spanning 1991 to 2012, Alexievich takes us behind the propaganda and contrived media accounts, giving us a panoramic portrait of contemporary Russia and Russians who still carry memories of oppression, terror, famine, massacres—but also of pride in their country, hope for the future, and a belief that everyone was working and fighting together to bring about a utopia. Here is an account of life in the aftermath of an idea so powerful it once dominated a third of the world.

A magnificent tapestry of the sorrows and triumphs of the human spirit woven by a master, Secondhand Time tells the stories that together make up the true history of a nation. “Through the voices of those who confided in her,” The Nation writes, “Alexievich tells us about human nature, about our dreams, our choices, about good and evil—in a word, about ourselves.”

Praise for Svetlana Alexievich and Secondhand Time

“The nonfiction volume that has done the most to deepen the emotional understanding of Russia during and after the collapse of the Soviet Union of late is Svetlana Alexievich’s oral history Secondhand Time.”—David Remnick, The New Yorker",History; Political Science; Russia & the Former Soviet Union; Russian & Former Soviet Union; World,en,2019-01-26,,,,,,,,
E597DACA-1C83-44C1-B032-E432FAC0E8C9,EcFk5XKukwMC,,9780140188479,Black Lamb and Grey Falcon,,"West, Rebecca",1181,,,"Widely recognized as West's most distinguished nonfiction work, this book describes the author's travels to Yugoslavia with her husband in 1937--a journey overshadowed by the growing inevitability of the Second World War.",Former Soviet Republics; Travel,en,2017-01-15,,,,854,,,,
AEB76CFF-2335-4495-963A-01F08612CA2B,vSOAPwAACAAJ,,9780140189278,The Captive Mind,,"Miłosz, Czesław",251,,Penguin,,,en,2019-07-30,,,,,,,,
3B7685A4-AEE8-4937-813C-04CD6208D252,llPz5x8KS2YC,,9781568360225,The Great Game,,"Hopkirk, Peter",565,,,"THE GREATGAME: THE EPIC STORY BEHIND TODAY'S HEADLINES


Peter Hopkirk's spellbinding account of the great imperial struggle for supremacy in Central Asoa has been hailed as essential reading with that era's legacy playing itself out today.


The Great Game between Victorian Britain and Tsarist Russia was fought across desolate terrain from the Caucasus to China, over the lonely passes of the Parmirs and Karakorams, in the blazing Kerman and Helmund deserts, and through the caravan towns of the old Silk Road--both powers scrambling to control access to the riches of India and the East. When play first began, the frontiers of Russia and British India lay 2000 miles apart; by the end, this distance had shrunk to twenty miles at some points. Now, in the vacuum left by the disintegration of the Soviet Union, there is once again talk of Russian soldiers ""dipping their toes in the Indian Ocean.""


The Washington Post has said that ""every story Peter Hopkirk touches is totally engrossing."" In this gripping narrative he recounts a breathtaking tale of espionage and treachery through the actual experiences of its colorful characters. Based on meticulous scholarship and on-the-spot research, this is the history at the core of today's geopolitics.",Asia; Europe; Great Britain; History; Middle East; Russia & the Former Soviet Union,en,2019-11-16,,,,205,,,,
673E3963-EB92-4814-A407-86E19C168BE4,KQR6iXMT11EC,,9780307773661,Plagues and Peoples,,"McNeill, William",368,,Knopf Doubleday Publishing Group,"Upon its original publication, Plagues and Peoples was an immediate critical and popular success, offering a radically new interpretation of world history as seen through the extraordinary impact--political, demographic, ecological, and psychological--of disease on cultures. From the conquest of Mexico by smallpox as much as by the Spanish, to the bubonic plague in China, to the typhoid epidemic in Europe, the history of disease is the history of humankind. With the identification of AIDS in the early 1980s, another chapter has been added to this chronicle of events, which William McNeill explores in his new introduction to this updated editon.

Thought-provoking, well-researched, and compulsively readable, Plagues and Peoples is that rare book that is as fascinating as it is scholarly, as intriguing as it is enlightening. ""A brilliantly conceptualized and challenging achievement"" (Kirkus Reviews), it is essential reading, offering a new perspective on human history.",Anthropology; Disease & Health Issues; History; Social Science; World,en,2020-04-16,,,,,,,,
4A9AA406-957A-4826-8ABD-FCDEC2BF8EA3,lK0hygEACAAJ,,9781916052017,Fatherhood,,"Klaces, Caleb",160,,Prototype Publishing Limited,,,en,2020-05-04,,,,,,,,
83128802-5480-48B7-ACAD-275C946767A1,OmVbAAAAMAAJ,,9780553274325,Johnny Got His Gun,,"Trumbo, Dalton",150,,Bantam,,,en,2020-06-22,,,,,,,,
7B38E590-A10A-4F12-94CD-CA020D3BC8EE,o_pZEpbG498C,,9780199534708,The Histories,,"Polybius\,",501,,OUP Oxford,"'no one else in our times has attempted to write a universal history' Polybius' ambitious goal was to describe how Rome conquered the Mediterranean world in less than fifty-three years. This great study of imperialism takes the reader back to Rome's first encounter with Carthage in 264 and forward to her destruction of that renowned city in 146. Polybius, himself a leading Greek politician of the time, emphasizes the importance of practical experience for the writing of political history as well as the critical assessment of all the evidence. He attributes Rome's success to the greatness of its constitution and the character of its people, but also allows Fortune a role in designing the shape of world events. This new translation by Robin Waterfield, the first for over thirty years, includes the first five books in their entirety, and all of the fragmentary Books 6 and 12, containing Polybius' account of the Roman constitution and his outspoken views on how (and how not) to write history. Brian McGing's accompanying introduction and notes illuminate this remarkable political history. ABOUT THE SERIES: For over 100 years Oxford World's Classics has made available the widest range of literature from around the globe. Each affordable volume reflects Oxford's commitment to scholarship, providing the most accurate text plus a wealth of other valuable features, including expert introductions by leading authorities, helpful notes to clarify the text, up-to-date bibliographies for further study, and much more.",Ancient; History,en,2020-07-24,,,,180,,,,
3B94320E-8BE6-43AA-8F96-4EF4F47BDE42,E9u3swEACAAJ,,9789529400089,The Lean Marketplace: a Practical Guide to Building a Successful Online Marketplace Business,,"Gracia, Cristóbald; Koivistoinen, Janne",210,,Sharetribe,"Inspired by the success of platforms such as Airbnb, Etsy or Fiverr? Want to know how to build an online marketplace business?

This is the book for you. In this step by step guide, we will go through everything you need to know about developing your idea into a sustainable business, offering lots of practical advice and actionable ideas along the way.

This book is the result of two experts putting almost two decades of experience together, in order to create a repeatable method for creating a successful online marketplace. The applicable tactics and techniques can be studied in advance, helping you avoid the most common pitfalls.

It's a handbook for anyone building an online marketplace. The same methods will apply whether your organization is a startup, a cooperative, a non-profit, or a big brand. Not every marketplace will be as big as Airbnb and Uber, but we believe there are thousands of marketplace ideas out there that can make for great, sustainable businesses. With the help of this book, you're one step closer to building the next one.

Critical acclaim

""Juho and Cristóbal have written a practical in-the-weeds guide on marketplace execution that will prove invaluable for all entrepreneurs looking to start a marketplace. No fluff, just actionable ideas."" - Sangeet Paul Choudary, best-selling author of Platform Revolution and Platform Scale

""Building marketplaces can be hard. The Lean Marketplace is a very useful step-by-step guide to help entrepreneurs think through the challenges and solutions to create the next Uber or Airbnb."" - Boris Wertz, Founder and General Partner, Version One Ventures

""Must read for every marketplace entrepreneur. I'm going to ask everyone in our team to read this book."" - Bram de Zwart, Co-founder and CEO, 3D Hubs

""As I'm friends with both authors, I know first hand that the information in their book is hard won from long experience helping dozens of marketplaces succeed and consulting the top experts from around the world. However, the quality and comprehensiveness of the content speaks for itself. It covers all the essentials of growing an online marketplace, and in the most straightforward way possible. It is an impressively practical, must read resource for any current or aspiring marketplace entrepreneur. I can't recommend it highly enough, but please see for yourself."" - Neal Gorenflo, Co-founder of Shareable

""The essential guide to building an essential marketplace."" - Tristan Pollock, Co-founder, Storefront, Partner, 500 Startups

""Reading Juho's and Cristobal's advice online before launching our platform helped us save so much time and avoid the most common mistakes. If you're considering building a marketplace business, read this book first. Seriously."" - Agne Milukaite, Co-founder and CEO, Cycle.land

""Envisioning, validating, building and growing a marketplace is no small challenge: the most important aspect to nailing this challenge down is all about avoiding losing time and energy in the myriad of wrong directions that can come up your way. This book is an essential guide, the lifeboat for the marketplace founder that faces the ocean of bootstrapping."" - Simone Cicero, platform strategist and consultant, creator of Platform Design Toolkit

""I bootstrapped my marketplace business from launch to profitability in 6 months. Reading this book will help you do the same."" - Mike Williams, CEO and Founder, Studiotime",Business & Economics; Entrepreneurship,en,2020-08-13,,,,,,,,
79B7A9C5-21D4-4706-82BD-7185A817895D,7YzSvgEACAAJ,,,Huey Long,,"Williams, Thomas Harry",884,,Knopf,"Om den amerikanske senator Huey Pierce Long (1893-1935) fra Louisiana, der blev kendt i depressionsperioden i 1930'erne for sin støtte til F.D.Roosevelts politik. Han blev myrdet af en politisk modstander",,en,2020-08-30,,,,,,,,
2175A4E4-80A9-473E-88F5-3195153DBAE3,bo7LzQEACAAJ,,9781541763012,The Cryptopians,"Idealism, Greed, Lies, and the Making of the First Big Cryptocurrency Craze","Shin, Laura",496,,PublicAffairs,"The story of the idealists, technologists, and opportunists fighting to bring cryptocurrency to the masses.

In their short history, Bitcoin and other cryptocurrencies have gone through booms, busts, and internecine wars, recently reaching a market valuation of more than $2 trillion. The central promise of crypto endures--vast fortunes made from decentralized networks not controlled by any single entity and not yet regulated by many governments.

The recent growth of crypto would have been all but impossible if not for a brilliant young man named Vitalik Buterin and his creation: Ethereum. In this book, Laura Shin takes readers inside the founding of this novel cryptocurrency network, which enabled users to launch their own new coins, thus creating a new crypto fever. She introduces readers to larger-than-life characters like Buterin, the Web3 wunderkind; his short-lived CEO, Charles Hoskinson; and Joe Lubin, a former Goldman Sachs VP who became one of crypto's most well-known billionaires. Sparks fly as these outsized personalities fight for their piece of a seemingly limitless new business opportunity.

This fascinating book shows the crypto market for what it really is: a deeply personal struggle to influence the coming revolution in money, culture, and power.",Bitcoin & Cryptocurrencies; Business & Economics; Computers & Information Technology; Finance; Industries,en,2022-03-09,,,,,,,,
AB5A127D-42E3-46DD-975A-EA0F2E94B8F0,0AFfAQAACAAJ,,9780393958034,The World of Late Antiquity,AD 150-750,"Brown, Peter",216,,Norton,"These centuries, as the author demonstrates, were the era in which the most deeply rooted of ancient institutions disappeared for all time. By 476 the Russian empire had vanished from western Europe; by 655 the Persian empire had vanished from the Near East. Mr. Brown, Professor of History at Princeton University, examines these changes and men's reactions to them, but his account shows that the period was also one of outstanding new beginnings and defines the far-reaching impact both of Christianity on Europe and of Islam on the Near East. The result is a lucid answer to a crucial question in world history; how the exceptionally homogeneous Mediterranean world of c. 200 A.D. became divided into the three mutually estranged societies of the Middle Ages: Catholic Western Europe, Byzantium, and Islam. We still live with the results of these contrasts.",Ancient; History; Rome,en,2022-12-01,,,,,,,,
